"dep"|"slug"|"rec"|"rec_url"
"API-COA"|"api-coa"|"Requerimientos del puesto a ocupar en la plantilla autorizada para la Entidad.TXT"|"http://puertocoatzacoalcos.com.mx/datos/DESCRIPTIVOS_PUESTO.txt"
"API-COA"|"api-coa"|"Plan de Apertura Institucional de API-COA"|"http://adela.datos.gob.mx/plan-de-apertura/api-coa/export.csv"
"API-COA"|"api-coa"|"Programa de Disposición Final de Bienes Muebles"|"http://www.puertocoatzacoalcos.com.mx/datos/Programa_de_Disposición_final_de_bienes_2015.csv"
"API-COA"|"api-coa"|"Programa Maestro de Desarrollo. PDF"|"http://www.puertocoatzacoalcos.com.mx/datos/PMDP.pdf"
"API-COA"|"api-coa"|"Programa Maestro de Desarrollo. TXT"|"http://www.puertocoatzacoalcos.com.mx/datos/PMDP.txt"
"API-COA"|"api-coa"|"Reglamento interno para los trabajadores de la Entidad"|"http://www.puertocoatzacoalcos.com.mx/datos/REGLAMENTO_INTERNO.txt"
"API-COA"|"api-coa"|"Programa anual de capacitación para los empleados de la Entidad"|"http://www.puertocoatzacoalcos.com.mx/datos/PROGRAMA_DE_CAPACITACION_ANUAL_2015.csv"
"API-COA"|"api-coa"|"Estadísticas de coyuntura e histórico de buques"|"http://www.puertocoatzacoalcos.com.mx/datos/ESTADISTICAS.csv"
"API-COA"|"api-coa"|"Programación de buques en el Puerto"|"http://www.puertocoatzacoalcos.com.mx/datos/PROGRAMACION_BUQUES.csv"
"API-COA"|"api-coa"|"Informe concentrado de buques"|"http://www.puertocoatzacoalcos.com.mx/datos/IC_BUQUES.csv"
"API-COA"|"api-coa"|"Inventario Institucional de Datos de API-COA"|"https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1099/Inventario_general_de_datos_APICOATZACOALCOS-ACTNOV2015.xlsx"
"PRODECON"|"prodecon"|"Registro de Contribuyentes Organizados"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/relaciones_institucionales/registro_contribuyentes_formatos.csv"
"PRODECON"|"prodecon"|"Registro único de Sindicos"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/relaciones_institucionales/registro_sindicos.csv"
